allocator,create,query,total
mem3_1mb,6992251,461441842,468442352
mem3_1mb,6968127,465319298,472294613
mem3_128kb,7045759,403037532,410120798
mem3_128kb,6924081,293368035,300300317
mem3_128kb,6931778,527724390,534665242
mem3_128kb,6955320,410971933,417935235
mem3_128kb,6983739,306562366,313554012
mem3_128kb,6925949,430993712,437927746
mem3_128kb,6921535,358249624,365179751
mem3_128kb,6949645,458627042,465584672
mem3_128kb,6931757,421306201,428245655
mem3_128kb,6934988,426025786,432968606
mem3_128kb,6955151,342708551,349672024
mem3_128kb,6938201,639584517,646531592
mem3_128kb,6949070,405762018,412718828
mem3_128kb,6972504,506912737,513893450
mem3_128kb,6929662,803896916,810833588
mem3_128kb,6943779,340834956,347785977
mem3_128kb,6952207,232969935,239930087
mem3_128kb,6929588,492437598,499374651
mem3_128kb,6956155,332498606,339463113
mem3_128kb,6947296,348852216,355806867
mem3_128kb,6933590,940132534,947073345
mem3_128kb,6928374,621676280,628612158
mem3_128kb,6957841,531115760,538081228
mem3_128kb,6924096,263003945,269935834
mem3_128kb,6960378,225090006,232057880
mem3_128kb,6957559,285716833,292681971
mem3_128kb,6939870,1027315118,1034262115
mem3_128kb,6983546,294552524,301544254
mem3_128kb,6953914,325681193,332643503
mem3_128kb,6935264,292550568,299493342
mem3_128kb,7053500,351903856,358995319
mem3_128kb,6934230,312304196,319246622
mem3_128kb,6926612,889292314,896227826
mem3_128kb,6978744,279885335,286871809
mem3_128kb,6936088,437357211,444301308
mem3_128kb,6945839,303805845,310759250
mem3_128kb,6948588,218922487,225879091
mem3_128kb,6942028,297945332,304895128
mem3_128kb,6939449,307046233,313993417
mem3_128kb,6935081,318280771,325223548
mem3_128kb,6948931,256918687,263875550
mem3_128kb,6931925,1545872807,1552812379
mem3_128kb,6951888,637415325,644376008
mem3_128kb,6920122,1881622385,1888550189
mem3_128kb,6931964,369085588,376025748
mem3_128kb,6938923,453332880,460279319
mem3_128kb,6931759,445224735,452164061
mem3_128kb,6933043,787548322,794489412
mem3_128kb,6934799,1071815848,1078757722
mem3_128kb,7014166,499405373,506426894
mem3_128kb,6940918,272403281,279351487
mem3_128kb,6930254,474784780,481722211
mem3_128kb,6924286,234403460,241335374
mem3_128kb,6930158,319423763,326361701
mem3_128kb,6927449,552140509,559075249
mem3_128kb,6931044,628886312,635824676
mem3_128kb,6905601,312827840,319740447
mem3_128kb,6939978,281223563,288171725
mem3_128kb,6937794,240205223,247150641
mem3_128kb,6930751,556657856,563595947
mem3_128kb,7044675,325947052,333028209
mem3_128kb,6932115,413242412,420182766
mem3_128kb,6980719,259211102,266200898
mem3_128kb,6933284,634050511,640992113
mem3_128kb,6942372,346608704,353559808
mem3_128kb,6911914,596813571,603734249
mem3_128kb,6946099,284184140,291138066
mem3_128kb,6935583,711938256,718882164
mem3_128kb,6943161,301925916,308877239
mem3_128kb,6963616,497176238,504147617
mem3_128kb,6949190,544296607,551254277
mem3_128kb,6964395,2069010047,2075982456
mem3_128kb,6949050,423242934,430200577
mem3_128kb,6948126,596832752,603789385
mem3_128kb,6920548,314655246,321583886
mem3_128kb,6950740,575389113,582347967
mem3_128kb,6945215,236871378,243824546
mem3_128kb,6946642,685959478,692913950
mem3_128kb,6921111,597309189,604237073
mem3_128kb,6988218,871544225,878539994
mem3_128kb,6928740,358558024,365494181
mem3_128kb,6910757,324275448,331194490
mem3_128kb,6944977,555623413,562579315
mem3_128kb,6958383,702442906,709409612
mem3_128kb,6937231,281669092,288613329
mem3_128kb,6942476,582295039,589244975
mem3_128kb,6984863,303682417,310675270
mem3_128kb,6930825,295615620,302553854
mem3_128kb,6931841,880397330,887337418
mem3_128kb,6935003,191530909,198473158
mem3_128kb,7478858,188114451,195632122
mem3_128kb,7641336,991248510,998898596
mem3_128kb,7068170,267753110,274830217
mem3_128kb,7842775,639353555,647204640
mem3_128kb,7857024,382512005,390377062
mem3_128kb,7898125,737530108,745436707
mem3_128kb,8098684,486696716,494803416
mem3_128kb,7863342,253880808,261752136
mem3_128kb,7840574,291599876,299448290
mem3_128kb,7876374,363907006,371791258
mem3_128kb,7835235,293664910,301508053
mem3_128kb,7039763,258522445,265570215
mem3_128kb,8332721,267719097,276059473
mem3_128kb,7932069,329391374,337331258
mem3_128kb,7879709,392244006,400131128
mem3_128kb,7927404,346137230,354072102
mem3_128kb,8020557,990404483,998432846
mem3_128kb,7417676,256079249,263504079
